,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Display AEROBARS,BB length,Head tube diameter,Wheel cut,Seat tube diameter,Front Fender include,Rear Fender include,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: BAMBOO,MATERIAL OHCLASS: CARBON,MATERIAL OHCLASS: OTHER,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Dropout spacing style OHCLASS: 0,Dropout spacing style OHCLASS: 1,Dropout spacing style OHCLASS: 2,Dropout spacing style OHCLASS: 3,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,bottle SEATTUBE0 show OHCLASS: False,bottle SEATTUBE0 show OHCLASS: True,bottle DOWNTUBE0 show OHCLASS: False,bottle DOWNTUBE0 show OHCLASS: True,BELTorCHAIN OHCLASS: 0,BELTorCHAIN OHCLASS: 1,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
1,430.0,67.0,608.3238434309077,73.0,135.6,45.0,588.7,72.5,659.3348046590341,45.0,40.0,32.5,38.45,23.35,13.0,15.0,7.0,40.0,28.7,50.0,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,689.0,67.0,689.0,67.0,0.0,68.0,45.0,692.0,34.0,0.0,0.0,9,1,0.0,255,0,0,1,1,80.0,80.0,298.0,768.0,34.9,300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,350.0,-14.5,476.78550810694736,71.5,80.0,45.0,265.0,71.5,572.2433386311441,45.0,40.0,29.200000000000003,36.5,22.0,18.5,15.0,8.0,23.3,39.1,23.1,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,611.0,104.0,611.0,104.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0,0,0.0,204,204,204,1,1,80.0,80.0,240.0,330.0,40.0,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,415.0,4.0,578.3165807080017,72.0,198.8,45.0,562.0,74.0,647.0851919004557,35.0,38.1,28.6,34.0,18.75,11.5,14.0,25.0,36.5,45.9,35.9,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,628.0,69.0,628.0,69.0,0.0,68.0,36.4,692.0,28.6,0.0,0.0,0,0,0.0,51,51,255,1,1,80.0,80.0,278.0,763.0,35.0,300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,375.0,50.0,480.2548854916242,70.5,91.8,40.0,460.0,73.5,570.8806826144196,45.0,38.1,25.4,34.0,17.35,10.5,15.0,10.6,29.1,19.0,33.9,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,623.0,52.0,623.0,52.0,0.0,68.0,31.7,692.0,28.6,0.0,0.0,9,1,0.0,255,255,255,1,1,80.0,80.0,298.0,600.0,28.6,140,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,431.79,24.0,504.207465142304,72.1,83.1,41.0,300.0,72.5,635.5497121199164,45.0,40.0,29.200000000000003,36.5,22.0,16.0,15.0,8.0,20.2,36.4,54.3,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,670.0,111.0,670.0,111.0,0.0,68.0,50.0,692.0,31.8,0.0,0.0,0,0,0.0,0,102,204,1,1,80.0,80.0,210.0,350.0,45.0,250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,311.9,17.0,428.8773365005166,80.6,90.0,45.0,315.0,71.6,601.0916575544851,15.0,40.0,29.200000000000003,36.5,27.0,18.5,125.0,8.0,20.1,50.1,25.0,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,486.0,80.0,486.0,80.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0,0,0.0,0,255,102,3,3,40.0,40.0,240.0,350.0,50.0,300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,425.0,29.86302492792601,589.4584372934178,69.53483637778452,165.0,65.0,535.0,72.03483637778452,687.3768541949364,45.0,37.5,30.200000000000003,43.45,25.0,18.5,15.0,11.2,28.5,50.0,50.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,670.0,111.0,670.0,111.0,0.0,100.0,40.0,692.0,35.0,0.0,0.0,8,2,0.0,204,0,0,1,1,80.0,80.0,278.0,755.0,45.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,425.0,43.0,551.0911007929305,70.0,123.6,77.0,520.0,73.0,701.9618580866787,25.0,35.0,42.0,44.95,23.35,18.5,15.0,11.2,27.0,62.0,70.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,699.0,115.0,699.0,115.0,0.0,100.0,45.0,692.0,35.0,0.0,0.0,9,2,0.0,0,0,0,1,1,80.0,80.0,278.0,753.0,45.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,450.0,73.5,621.2450603789401,73.0,150.0,40.0,524.4,74.0,655.1348986659191,65.0,38.1,28.6,34.0,17.35,10.5,15.0,10.6,28.1,34.4,39.1,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,680.0,58.0,680.0,58.0,0.0,68.0,31.8,692.0,28.6,0.0,0.0,9,2,1.0,102,102,102,1,1,80.0,80.0,278.0,718.0,31.8,180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,443.0,41.0,529.7238252848483,72.0,105.0,55.0,457.0,73.0,673.85422993168,50.0,40.0,32.7,36.5,22.0,17.0,15.0,8.0,25.9,74.2,68.1,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,745.0,118.0,740.0,123.0,0.0,68.0,40.0,692.0,31.8,0.0,0.0,8,0,0.0,153,153,153,1,1,80.0,80.0,298.0,830.0,50.0,300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
